City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,kingston,17.997,-76.7936,88.75,66,20,16.11,JM,1720569960
296,corner brook,48.9667,-57.9484,68.43,85,100,6.62,CA,1720570018
297,antalaha,-14.9003,50.2788,67.39,75,45,6.87,MG,1720570019
298,tsengel,49.4783,100.8894,65.62,59,8,2.64,MN,1720570020
299,columbia falls,48.3725,-114.1815,94.01,25,0,5.75,US,1720570021
300,chajari,-30.7505,-57.9796,42.82,66,100,8.1,AR,1720570022
301,vuyyuru,16.3667,80.85,81.93,85,100,5.7,IN,1720570024
302,grants,35.1473,-107.8514,86.52,11,27,11.25,US,1720569787
303,solleftea,63.1667,17.2667,49.86,78,79,2.15,SE,1720570026
304,alice springs,-23.7,133.8833,53.15,66,2,2.3,AU,1720570027
305,ola,59.5833,151.2833,66.38,51,49,14.34,RU,1720570028
306,wuyo,10.3852,11.6968,80.31,68,95,7.47,NG,1720570029
307,santa ana,33.7456,-117.8678,96.31,64,20,11.5,US,1720569920
308,shakawe,-18.3667,21.85,46.27,19,0,4.34,BW,1720570032
309,brak,27.5496,14.2714,86.74,24,6,8.55,LY,1720570033
310,al khums,32.6486,14.2619,77.11,57,2,3.78,LY,1720570034
311,pacific grove,36.6177,-121.9166,76.24,81,20,11.5,US,1720569900
312,mount pearl,47.5166,-52.7813,65.44,91,65,5.99,CA,1720570025
313,oakley,37.9974,-121.7124,91.18,39,0,11.45,US,1720570038
314,majene,-3.5403,118.9707,77.43,82,100,11.79,ID,1720570039
315,sungjibaegam,41.2428,128.7989,65.39,55,0,3.02,KP,1720570040
316,muchkapskiy,51.8513,42.4717,65.28,65,27,4.27,RU,1720570041
317,tonnerre,47.8563,3.9737,63.45,98,97,9.19,FR,1720570042
318,cole harbour,44.6724,-63.4751,70.18,87,100,5.99,CA,1720570043
319,guelendeng,10.9176,15.5501,81.75,64,100,8.79,TD,1720570045
320,kolyvan',55.3053,82.7391,58.62,80,100,5.06,RU,1720570046
321,amga,60.8953,131.9608,55.24,97,100,5.57,RU,1720570047
322,vorkuta,67.5,64.0,61.21,57,3,4.41,RU,1720569865
323,vila franca do campo,37.7167,-25.4333,72.01,95,76,13.4,PT,1720570049
324,princeville,45.7668,-61.2985,73.76,94,100,4.16,CA,1720570050
325,maardu,59.4767,25.025,55.4,94,0,4.61,EE,1720570052
326,butajira,8.1167,38.3667,58.95,85,73,2.39,ET,1720570053
327,undurkhaan,47.3194,110.6556,69.53,63,79,1.57,MN,1720570054
328,kupang,-10.1667,123.5833,82.98,74,20,10.36,ID,1720570055
329,bereeda,11.8704,51.0579,88.61,57,71,12.44,SO,1720570056
330,nova sintra,14.8667,-24.7167,74.46,81,56,22.17,CV,1720570058
331,castillos,-34.1667,-53.8333,45.46,76,92,10.18,UY,1720570059
332,murzuq,25.9155,13.9184,85.82,23,15,10.18,LY,1720570060
333,sarupathar,26.1984,93.8094,76.28,97,100,4.25,IN,1720570061
334,chulym,55.0997,80.9572,60.85,85,91,6.49,RU,1720570062
335,shchigry,51.8755,36.9043,66.02,90,100,4.34,RU,1720570064
336,madalena,41.2162,-8.3345,66.45,95,100,2.57,PT,1720570065
337,tsagan aman,47.5639,46.7218,73.58,39,0,7.2,RU,1720570066
338,georgetown,5.4112,100.3354,76.95,94,20,3.44,MY,1720570060
339,lieksa,63.3167,30.0167,54.5,92,24,4.72,FI,1720570068
340,lethem,3.3803,-59.7968,78.24,76,71,5.66,GY,1720570071
341,south hedland,-20.4089,118.5983,62.53,55,23,5.75,AU,1720570072
342,abadeh,31.1608,52.6506,76.19,20,14,5.82,IR,1720570074
343,pendleton,45.6721,-118.7886,106.39,12,0,11.01,US,1720569791
344,pont-sainte-marie,48.3185,4.0945,64.45,100,75,3.44,FR,1720570076
345,carnarvon,-24.8667,113.6333,71.11,88,2,6.58,AU,1720570078
346,flin flon,54.7682,-101.865,81.43,40,71,4.7,CA,1720570079
347,recani,31.2846,-4.2688,91.74,9,0,5.46,MA,1720570080
